album,sales
SGT. PEPPER'S LONELY HEARTS CLUB BAND,32000000
THE DOORS,20000000
GREATEST HITS,10000000
MAGICAL MYSTERY TOUR,7032199
BOB DYLAN'S GREATEST HITS,6525000
ARE YOU EXPERIENCED,5125000
A CHRISTMAS ALBUM,5035000
MORE OF THE MONKEES,5012400
HOW GREAT THOU ART,3001070
GREATEST HITS,2100000
"PISCES, AQUARIUS, CAPRICORN & JONES, LTD.",2016560
HEADQUARTERS,2016490
"BEST OF THE BEACH BOYS, VOLUME 2",2000000
STRANGE DAYS,1694798
DAYS OF FUTURE PASSED,1160000
JOHN WESLEY HARDING,1100000
DISRAELI GEARS,1100000
AXIS: BOLD AS LOVE,1100000
SURREALISTIC PILLOW,1060000
ALICE'S RESTAURANT,1000000
REVENGE,1000000
BY THE TIME I GET TO PHOENIX,1000000
GENTLE ON MY MIND,1000000
ALBUM 1700,1000000
CAMELOT,1000000
THE BYRDS' GREATEST HITS,1000000
RELEASE ME,700000
THE LAST WALTZ,600000
THEIR SATANIC MAJESTIES REQUEST,560000
GOLDEN GREATS,556250
MANTOVANI'S GOLDEN HITS,550000
THE RIGHTEOUS BROTHERS GREATEST HITS,550000
SONGS OF LEONARD COHEN,520000
PIPER AT THE GATES OF DAWN,518000
BLOOMING HITS,517690
LIVE AT TALK OF TOWN,509570
REACH OUT,504320
GREEN GREEN GRASS OF HOME,501670
BORN FREE,500000
"LOVE, ANDY",500000
I NEVER LOVED A MAN THE WAY I LOVE YOU,500000
SIMPLY STREISAND,500000
ODE TO BILLY JOE,500000
THE TIME HAS COME,500000
THE COUNTRY WAY,500000
CLAUDINE,500000
WELCOME TO MY WORLD,500000
DIONNE WARWICK'S GREATEST HITS,500000
A GIFT FROM A FLOWER TO A GARDEN,500000
MY CUP RUNNETH OVER,500000
THE BEST OF EDDY ARNOLD,500000
UP-UP AND AWAY,500000
HERB ALPERT'S NINTH,500000
SOUNDS LIKE,500000
THERE'S A KIND OF HUSH ALL OVER THE WORLD,500000
WILDFLOWERS,500000
DON'T COME HOME A DRINKIN',500000
THE BEST OF THE LOVIN' SPOONFUL,500000
PAUL REVERE & THE RAIDERS GREATEST HITS,500000
COLLECTIONS,500000
GROOVIN',500000
